Timestamp,1. Gender,2. Age,3. Municipality in which you visit parks or squares after the pandemic : ,4. Has the COVID-19 pandemic modified your usage of open greenspaces? ,5. Do you generally feel safe when you visit parks or squares ?,6. Did the COVID-19 pandemic influence your safety perception in parks or squares?,7. Would you feel physically secure knowing that park or square usage is being monitored and accessible through your phone?,8. Would you be interested in technology that enables  you to track how many people are in specific open greenspace at any point in time?,9. What particular safety concerns bother you?
1/10/2024 1:06:18,Female,30,"Vračar, Palilula, Savski venac, Zvezdara","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 1:07:21,Female,56,"Novi Beograd, Palilula, Stari grad, Zvezdara","Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits at night
1/10/2024 1:12:14,Female,34,Novi Beograd,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel less safe,Yes,Yes,Park visits at night
1/10/2024 1:17:03,Female,48,Vračar,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel less safe,Yes,Yes,Park visits at night
1/10/2024 1:17:55,Male,28,Savski venac,My visits have become less frequently,No,My perception of safety remained unchanged,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:18:20,Female,56,Novi Beograd,My visits have become less frequently,Yes,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 1:18:55,Male,23,Palilula,My visits have become less frequently,Yes,I feel less safe,Yes,Yes,Unsafe playgrounds
1/10/2024 1:19:51,Male,63,"Stari grad, Zemun",The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,Yes,Park visits in deprived areas
1/10/2024 1:20:25,Male,65,Zemun,My visits have become less frequently,No,I feel less safe,Yes,No,Park visits in deprived areas
1/10/2024 1:21:21,Female,45,Stari grad,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel less safe,Yes,Yes,Unsafe playgrounds
1/10/2024 1:24:39,Male,65,"Vračar, Palilula, Savski venac","No, not at all",Yes,I feel less safe,Yes,Yes,Park visits in deprived areas
1/10/2024 1:33:08,Male,26,Čukarica,"No, not at all",Yes,My perception of safety remained unchanged,Yes,Yes,Park visits in deprived areas
1/10/2024 1:33:50,Male,46,Zvezdara,My visits have become less frequently,No,I feel less safe,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:34:28,Female,44,Surčin,The usage remained unchanged,Yes,My perception of safety remained unchanged,Yes,No,Unsafe playgrounds
1/10/2024 1:34:55,Female,55,Vračar,My visits have become less frequently,No,I feel less safe,No,Yes,Visits of overcrowded greenspaces
1/10/2024 1:35:12,Female,66,Voždovac,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",Yes,I feel less safe,Yes,Yes,Park visits at night
1/10/2024 1:35:34,Male,36,Grocka,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 1:36:06,Female,45,Stari grad,My visits have become less frequently,No,I feel less safe,Yes,Yes,Park visits in deprived areas
1/10/2024 1:36:38,Male,38,Stari grad,My visits have become less frequently,No,I feel safer in open spaces,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:37:12,Male,33,Rakovica,"Yes, I visit greenspaces  more frequently and actively than before the pandemic",No,I feel less safe,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:37:36,Female,45,Palilula,"No, not at all",Yes,My perception of safety remained unchanged,No,No,Visits of overcrowded greenspaces
1/10/2024 1:37:58,Male,46,Surčin,The usage remained unchanged,No,I feel safer in open spaces,No,No,Unsafe playgrounds
1/10/2024 1:38:21,Female,34,Zvezdara,My visits have become less frequently,No,I feel less safe,Yes,Yes,Park visits at night
1/10/2024 1:38:45,Female,56,"Voždovac, Vračar",My visits have become less frequently,Yes,I feel less safe,Yes,Yes,Visits of overcrowded greenspaces
1/10/2024 1:39:06,Male,51,Mladenovac,"No, not at all",Yes,I feel less safe,Yes,Yes,Park visits at night
