Timestamp,Age ,Gender,Municipality in which you visit parks or squares: (circle all that apply),How often have you visited parks or squares in 2019 during the day?,"Regarding the parks or squares that you have visited in 2019, did you visit parks or squares more frequently during the day before the corona virus outbreak?",How much time do you usually spend in parks or squares since the corona virus outbreak in Serbia?,"When you are in parks or squares, what do you usually do (circle all that apply)?",When visiting parks or squares you are often (circle all that apply):,"While using parks or squares, do you behave according to social distancing regulations standing a minimum of 2.0 meters apart from other people?",Would you feel physically safe if there was monitoring of park or square usage that you could access through your phone?,Would you feelsafe regarding the corona virus if there was monitoring of park or square usage that you could access through your phone?,Would you be interested in technology that would allow you to know how many people are in a specific place you would like to go?,"If your identity was not revealed, would you want to provide your phone’s location (see question 10)?"
5/15/2020 20:12:29,15-24,Male,"Vračar, Novi Beograd, Palilula, Savski Venac, Stari grad","Often, a couple of times per week",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, while using the app"
5/15/2020 20:21:54,25-40,Male,"Vračar, Palilula, Stari grad","Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
5/15/2020 20:22:49,41-64,Female,"Vračar, Palilula, Stari grad"more than 5 people,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Walking the dog",Alone or with pets,Yes,Yes,Yes,Yes,"Yes, at all time"
5/15/2020 20:45:13,15-24,Female,"Vračar, Palilula, Stari grad, Zvezdara, Grocka","Sometimes, a couple of times per month",Less frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,No,Yes,"Yes, while using the app"
5/15/2020 20:48:23,41-64,Female,"Vračar, Palilula","Sometimes, a couple of times per month",More frequently,Up to 15 minutes,Spending time with friends,With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/15/2020 20:53:34,15-24,Female,"Vračar, Novi Beograd, Zvezdara","Often, a couple of times per week",More frequently,Not at all,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,No,No,Yes,"No, not at all"
5/15/2020 21:03:54,15-24,Female,Rakovica,"Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,Sitting and relaxing,With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/15/2020 21:28:33,25-40,Female,"Vračar, Palilula","Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults)",Yes,No,No,No,"No, not at all"
5/15/2020 21:35:07,25-40,Female,Stari grad,"Always, almost every day",As frequently,From 30 minutes to one hour,Physical activity,With children,No,Yes,Yes,Yes,"Yes, while using the app"
5/15/2020 23:52:57,41-64,Male,Palilula,"Sometimes, a couple of times per month",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,Yes,Yes,No,"No, not at all"
5/16/2020 17:54:39,25-40,Male,Vračar,"Often, a couple of times per week",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),No,No,No,No,"No, not at all"
5/16/2020 20:09:05,41-64,Female,Zvezdara,"Often, a couple of times per week",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Physical activity","Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/16/2020 22:10:45,41-64,Female,Palilula,"Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,"Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, at all time"
5/17/2020 13:10:51,25-40,Female,"Novi Beograd, Zemun","Often, a couple of times per week",As frequently,More than one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Walking the dog, Physical activity","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"No, not at all"
5/17/2020 13:15:06,41-64,Female,Vračar,"Sometimes, a couple of times per month",More frequently,Not at all,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,No,No,Yes,"No, not at all"
5/17/2020 14:27:34,25-40,Male,"Voždovac, Vračar, Palilula","Always, almost every day",Less frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/17/2020 14:47:35,25-40,Female,Vračar,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,No,No,No,"No, not at all"
5/17/2020 16:35:47,15-24,Male,Vračar,"Rarely, a couple of times per year",More frequently,From 30 minutes to one hour,"Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,Yes,"No, not at all"
5/17/2020 18:48:03,41-64,Female,"Čukarica, Stari grad","Always, almost every day",As frequently,From 30 minutes to one hour,Walking the dog,"Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, at all time"
5/17/2020 19:44:31,41-64,Female,Čukarica,"Sometimes, a couple of times per month",As frequently,Not at all,Walking the dog,Alone or with pets,Yes,Yes,Yes,Yes,"No, not at all"
5/18/2020 0:03:55,41-64,Female,Stari grad,"Always, almost every day",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity","Alone or with pets, With children",Yes,Yes,No,No,"Yes, at all time"
5/18/2020 9:52:50,41-64,Female,"Vračar, Palilula, Savski Venac, Stari grad, Zvezdara","Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"Yes, at all time"
5/18/2020 11:03:26,41-64,Female,Voždovac,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,Yes,"No, not at all"
5/18/2020 11:11:58,41-64,Female,Vračar,"Often, a couple of times per week",More frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 11:29:45,41-64,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity","With children, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 11:34:04,25-40,Female,Rakovica,"Always, almost every day",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends",With a small group of friends (up to 5 persons),Yes,No,No,No,"No, not at all"
5/18/2020 12:15:28,41-64,Female,Vračar,"Often, a couple of times per week",More frequently,Not at all,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 12:25:35,41-64,Female,"Čukarica, Vračar, Novi Beograd, Savski Venac, Stari grad, Zvezdara","Always, almost every day",As frequently,Not at all,"Spending time with friends, Physical activity, Spending time with friends",With children,Yes,No,Yes,Yes,"Yes, while using the app"
5/18/2020 13:39:29,25-40,Female,"Čukarica, Novi Beograd","Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity","Alone or with pets, With a small group of friends (up to 5 persons)",Yes,No,No,Yes,"Yes, while using the app"
5/18/2020 13:43:11,15-24,Female,"Čukarica, Novi Beograd, Zemun","Often, a couple of times per week",Less frequently,Not at all,Spending time with friends,With a small group of friends (up to 5 persons),Yes,Yes,No,Yes,"Yes, while using the app"
5/18/2020 13:43:33,41-64,Female,Zemun,"Always, almost every day",As frequently,From 30 minutes to one hour,Sitting and relaxing,Alone or with pets,Yes,Yes,Yes,Yes,"No, not at all"
5/18/2020 13:46:41,15-24,Female,Čukarica,"Sometimes, a couple of times per month",More frequently,Up to 15 minutes,"Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,Yes,"No, not at all"
5/18/2020 13:48:10,15-24,Male,"Čukarica, Vračar, Novi Beograd","Always, almost every day",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Physical activity","With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,No,No,Yes,"No, not at all"
5/18/2020 13:53:16,25-40,Female,Čukarica,"Often, a couple of times per week",Less frequently,From 30 minutes to one hour,Sitting and relaxing,With children,Yes,No,No,No,"No, not at all"
5/18/2020 13:59:34,15-24,Female,Čukarica,"Sometimes, a couple of times per month",As frequently,More than one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,Yes,Yes,Yes,"No, not at all"
5/18/2020 14:02:33,41-64,Female,Čukarica,"Often, a couple of times per week",Not at all,From 15 to 30 minutes,"Sitting and relaxing, Consumption, Consumption, Consumption","Alone or with pets, With a small group of friends (up to 5 persons)",No,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 14:20:06,25-40,Male,Čukarica,"Rarely, a couple of times per year",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,No,"No, not at all"
5/18/2020 14:25:03,15-24,Male,"Vračar, Palilula","Often, a couple of times per week",More frequently,More than one hour,"Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,Yes,Yes,Yes,"Yes, at all time"
5/18/2020 14:26:47,15-24,Female,Palilula,"Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 14:36:26,25-40,Female,"Čukarica, Rakovica","Sometimes, a couple of times per month",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 14:36:34,25-40,Female,"Čukarica, Rakovica","Sometimes, a couple of times per month",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 15:06:32,41-64,Female,"Palilula, Rakovica, Stari grad","Always, almost every day",As frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 15:12:54,15-24,Female,Rakovica,Not at all,Less frequently,Up to 15 minutes,Sitting and relaxing,With partner or friend (two adults),Yes,Yes,Yes,Yes,"No, not at all"
5/18/2020 15:16:20,41-64,Female,Voždovac,"Often, a couple of times per week",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/18/2020 15:31:19,25-40,Male,Novi Beograd,"Always, almost every day",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Physical activity","With children, With partner or friend (two adults)",No,No,No,No,"No, not at all"
5/18/2020 15:35:59,41-64,Female,Rakovica,"Rarely, a couple of times per year",Not at all,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,Yes,Yes,No,"No, not at all"
5/18/2020 15:53:17,15-24,Male,Čukarica,"Often, a couple of times per week",As frequently,Not at all,Spending time with friends,With a small group of friends (up to 5 persons),Yes,Yes,Yes,Yes,"No, not at all"
5/18/2020 15:53:50,25-40,Female,Stari grad,"Always, almost every day",As frequently,Not at all,Sitting and relaxing,Alone or with pets,Yes,No,No,Yes,"No, not at all"
5/18/2020 16:41:06,25-40,Female,"Vračar, Palilula, Savski Venac, Stari grad, Zvezdara","Often, a couple of times per week",As frequently,From 15 to 30 minutes,Walking the dog,"Alone or with pets, With partner or friend (two adults)",No,No,No,Yes,"Yes, while using the app"
5/18/2020 17:17:35,41-64,Female,"Novi Beograd, Zemun",Not at all,Not at all,From 30 minutes to one hour,Spending time with friends,With partner or friend (two adults),Yes,No,No,No,"No, not at all"
5/18/2020 18:48:12,15-24,Female,"Čukarica, Rakovica","Often, a couple of times per week",Less frequently,From 15 to 30 minutes,"Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/18/2020 20:04:43,25-40,Female,Voždovac,"Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,Sitting and relaxing,With children,Yes,No,No,No,"No, not at all"
5/18/2020 20:36:16,25-40,Female,Novi Beograd,"Always, almost every day",Less frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity",With children,Yes,No,No,Yes,"No, not at all"
5/18/2020 20:42:06,25-40,Female,"Novi Beograd, Zemun","Always, almost every day",More frequently,From 30 minutes to one hour,"Sitting and relaxing, Walking the dog","Alone or with pets, With children, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 20:56:49,15-24,Male,"Čukarica, Vračar, Novi Beograd, Rakovica","Often, a couple of times per week",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Physical activity","Alone or with pets, With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",Yes,No,No,No,"Yes, at all time"
5/18/2020 21:01:24,41-64,Female,Čukarica,"Sometimes, a couple of times per month",More frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity",With partner or friend (two adults),Yes,No,No,Yes,"No, not at all"
5/18/2020 21:04:04,15-24,Apache attack helicopter,"Čukarica, Novi Beograd, Savski Venac, Stari grad, Zemun","Often, a couple of times per week",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends, Physical activity, Having sex",With partner or friend (two adults),No,No,No,No,"No, not at all"
5/18/2020 21:13:10,15-24,Female,Čukarica,"Often, a couple of times per week",More frequently,Not at all,"Physical activity, Physical activity, Physical activity, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,Yes,Yes,"Yes, at all time"
5/18/2020 21:15:04,25-40,Female,Zvezdara,"Always, almost every day",More frequently,Not at all,Spending time with friends,With partner or friend (two adults),Yes,No,No,Yes,"No, not at all"
5/18/2020 21:21:01,25-40,Female,"Čukarica, Vračar, Rakovica, Savski Venac, Stari grad, Zemun","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With a small group of friends (up to 5 persons), With a large group of friends (more than 5 people)",No,No,No,Yes,"No, not at all"
5/18/2020 21:24:49,25-40,Female,"Čukarica, Vračar, Novi Beograd, Palilula, Stari grad, Zemun, Zvezdara","Often, a couple of times per week",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",No,No,No,No,"Yes, while using the app"
5/18/2020 21:30:21,15-24,Female,Čukarica,"Often, a couple of times per week",As frequently,From 30 minutes to one hour,Spending time with friends,With partner or friend (two adults),Yes,No,Yes,Yes,"Yes, while using the app"
5/18/2020 21:35:37,25-40,Female,"Čukarica, Novi Beograd","Always, almost every day",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",With children,Yes,Yes,Yes,No,"Yes, while using the app"
5/18/2020 21:39:22,25-40,Male,Novi Beograd,"Sometimes, a couple of times per month",More frequently,Up to 15 minutes,Spending time with friends,With children,Yes,Yes,No,No,"No, not at all"
5/18/2020 21:39:44,15-24,Female,Savski Venac,"Sometimes, a couple of times per month",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing","Alone or with pets, With partner or friend (two adults)",No,No,No,No,"No, not at all"
5/18/2020 22:02:05,25-40,Female,Stari grad,"Rarely, a couple of times per year",Less frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing","Alone or with pets, With partner or friend (two adults)",Yes,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 22:23:38,15-24,Male,Čukarica,"Often, a couple of times per week",Not at all,Not at all,"Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,Yes,No,No,"No, not at all"
5/18/2020 22:37:28,41-64,Female,Savski Venac,"Often, a couple of times per week",As frequently,More than one hour,Walking the dog,Alone or with pets,Yes,No,No,No,"No, not at all"
5/18/2020 22:38:37,41-64,Female,Čukarica,"Often, a couple of times per week",As frequently,More than one hour,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,No,No,No,"No, not at all"
5/18/2020 22:50:39,25-40,Female,Novi Beograd,"Always, almost every day",More frequently,From 30 minutes to one hour,Spending time with friends,With a large group of friends (more than 5 people),Yes,Yes,Yes,Yes,"Yes, at all time"
5/18/2020 22:54:16,25-40,Female,"Vračar, Stari grad","Often, a couple of times per week",More frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity",Alone or with pets,Yes,No,No,No,"No, not at all"
5/18/2020 22:56:51,25-40,Female,Zvezdara,"Rarely, a couple of times per year",More frequently,More than one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Physical activity",With partner or friend (two adults),No,No,No,No,"Yes, at all time"
5/18/2020 23:00:15,15-24,Female,"Čukarica, Novi Beograd","Sometimes, a couple of times per month",Less frequently,From 15 to 30 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults)",No,No,No,Yes,"Yes, while using the app"
5/18/2020 23:03:19,15-24,Male,Zvezdara,"Often, a couple of times per week",More frequently,From 15 to 30 minutes,Sitting and relaxing,With partner or friend (two adults),No,Yes,No,Yes,"No, not at all"
5/18/2020 23:04:41,15-24,Female,Zvezdara,"Sometimes, a couple of times per month",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends, Walking the dog","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/18/2020 23:05:55,15-24,Female,Zvezdara,"Often, a couple of times per week",As frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Consumption, Consumption, Consumption, Spending time with friends","Alone or with pets, With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/18/2020 23:08:12,25-40,Female,Novi Beograd,"Often, a couple of times per week",Less frequently,More than one hour,"Physical activity, Physical activity, Physical activity",With a small group of friends (up to 5 persons),No,Yes,Yes,Yes,"Yes, while using the app"
5/18/2020 23:08:48,25-40,Female,"Novi Beograd, Stari grad","Sometimes, a couple of times per month",More frequently,From 30 minutes to one hour,"Physical activity, Physical activity, Physical activity, Sitting and relaxing, Spending time with friends","With partner or friend (two adults), With a small group of friends (up to 5 persons)",Yes,No,No,No,"No, not at all"
5/18/2020 23:08:50,25-40,Male,"Vračar, Novi Beograd, Palilula, Stari grad, Zvezdara, Barajevo",Not at all,As frequently,Up to 15 minutes,"Physical activity, Physical activity, Physical activity, Sitting and relaxing",With partner or friend (two adults),No,Yes,Yes,Yes,"Yes, while using the app"
